Order;OWL URI;Download Time (ms);Axiom Count
99;http://data.bioontology.org/ontologies/IMGT-ONTOLOGY/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;22178;23299
100;http://data.bioontology.org/ontologies/OMIT/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;13560;23811
101;http://data.bioontology.org/ontologies/BIOMO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;6358;127
102;http://data.bioontology.org/ontologies/RNAO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;1552;1304
103;http://data.bioontology.org/ontologies/SEDI/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;21474;22136
104;http://data.bioontology.org/ontologies/MCCL/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;20806;19082
105;http://data.bioontology.org/ontologies/OGR/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;281;117
106;http://data.bioontology.org/ontologies/HCPCS/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;141596;89657
107;http://data.bioontology.org/ontologies/ICD10CM/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;1102268;1215781
108;http://data.bioontology.org/ontologies/DIDEO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;10071;1752
109;http://data.bioontology.org/ontologies/GLYCORDF/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;6841;2165
110;http://data.bioontology.org/ontologies/HAO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;26425;23927
111;http://data.bioontology.org/ontologies/MSV/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;3039;1684
112;http://data.bioontology.org/ontologies/CRISP/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;266761;245278
113;http://data.bioontology.org/ontologies/CL/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;46923;22541
114;http://data.bioontology.org/ontologies/CPTAC/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;22613;1567
115;http://data.bioontology.org/ontologies/TAXRANK/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;1466;450
116;http://data.bioontology.org/ontologies/CABRO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;660;175
117;http://data.bioontology.org/ontologies/CTCAE/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;37879;37813
118;http://data.bioontology.org/ontologies/NIFSUBCELL/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;27799;3551
119;http://data.bioontology.org/ontologies/TRIAGE/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;1661;220
120;http://data.bioontology.org/ontologies/WIKIPATHWAYS/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;1985;370
121;http://data.bioontology.org/ontologies/MSTDE/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;25424;21684
122;http://data.bioontology.org/ontologies/ONTODT/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;4585;2727
123;http://data.bioontology.org/ontologies/LDA/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;2172;258
124;http://data.bioontology.org/ontologies/SWO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;20379;36096
125;http://data.bioontology.org/ontologies/OBCS/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;7437;6548
126;http://data.bioontology.org/ontologies/MIRNAO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;5455;3868
127;http://data.bioontology.org/ontologies/RADLEX/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;156507;483789
128;http://data.bioontology.org/ontologies/GALEN/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;95236;63329
129;http://data.bioontology.org/ontologies/BRIDG/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;40411;19841
130;http://data.bioontology.org/ontologies/ICD11-BODYSYSTEM/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;252;87
131;http://data.bioontology.org/ontologies/VIVO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;31653;1865
132;http://data.bioontology.org/ontologies/AERO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;11712;1616
133;http://data.bioontology.org/ontologies/ONLIRA/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;1906;656
134;http://data.bioontology.org/ontologies/SMASH/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;4915;0
135;http://data.bioontology.org/ontologies/ICECI/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;13066;15859
136;http://data.bioontology.org/ontologies/ONTOPNEUMO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;4939;5559
137;http://data.bioontology.org/ontologies/PDON/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;8160;4068
138;http://data.bioontology.org/ontologies/NEOMARK3/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;4203;2513
139;http://data.bioontology.org/ontologies/ADAR/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;36567;17857
140;http://data.bioontology.org/ontologies/MCBCC/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;6324;3280
141;http://data.bioontology.org/ontologies/FO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;431;262
142;http://data.bioontology.org/ontologies/ONL-MR-DA/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;4231;813
143;http://data.bioontology.org/ontologies/DERMLEX/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;43965;24473
144;http://data.bioontology.org/ontologies/ODNAE/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;7679;19537
145;http://data.bioontology.org/ontologies/InterNano/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;1346;2958
146;http://data.bioontology.org/ontologies/BT/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;1894;2322
147;http://data.bioontology.org/ontologies/ONTOMA/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;950;870
148;http://data.bioontology.org/ontologies/CSEO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;89816;146680
149;http://data.bioontology.org/ontologies/STUFF/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;1665;266
150;http://data.bioontology.org/ontologies/CMPO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;19926;21144
151;http://data.bioontology.org/ontologies/EMO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;3733;1269
152;http://data.bioontology.org/ontologies/SHR/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;605;825
153;http://data.bioontology.org/ontologies/ONSTR/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;23771;13193
154;http://data.bioontology.org/ontologies/MF/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;5807;51
155;http://data.bioontology.org/ontologies/MERA/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;1109;114
156;http://data.bioontology.org/ontologies/GFVO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;682;868
157;http://data.bioontology.org/ontologies/VTO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;724396;868573
158;http://data.bioontology.org/ontologies/PMA/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;7564;10416
159;http://data.bioontology.org/ontologies/SAO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;6772;7767
160;http://data.bioontology.org/ontologies/NEMO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;21331;26712
161;http://data.bioontology.org/ontologies/UNITSONT/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;1097;340
162;http://data.bioontology.org/ontologies/NEOMARK4/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;4471;2785
163;http://data.bioontology.org/ontologies/ORTHO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;2005;188
164;http://data.bioontology.org/ontologies/REPO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;1039;697
165;http://data.bioontology.org/ontologies/FLOPO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;36466;87708
166;http://data.bioontology.org/ontologies/VSO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;7415;307
167;http://data.bioontology.org/ontologies/OMIM/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;1021777;949623
168;http://data.bioontology.org/ontologies/CN/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;3180;1842
169;http://data.bioontology.org/ontologies/VANDF/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;779023;625282
170;http://data.bioontology.org/ontologies/INO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;7059;1505
171;http://data.bioontology.org/ontologies/DIAB/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;4522;5881
172;http://data.bioontology.org/ontologies/MAMO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;2266;703
173;http://data.bioontology.org/ontologies/CSSO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;1978;3397
174;http://data.bioontology.org/ontologies/BIM/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;568;554
175;http://data.bioontology.org/ontologies/EP/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;18031;769
176;http://data.bioontology.org/ontologies/SSO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;1314;2050
177;http://data.bioontology.org/ontologies/UBERON/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;285021;230433
178;http://data.bioontology.org/ontologies/MFOEM/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;1718;1073
179;http://data.bioontology.org/ontologies/TOK/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;2242;1687
180;http://data.bioontology.org/ontologies/MIXS/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;580;729
181;http://data.bioontology.org/ontologies/ELIG/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;313;106
182;http://data.bioontology.org/ontologies/STATO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;13019;7990
183;http://data.bioontology.org/ontologies/CHMO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;36381;27173
184;http://data.bioontology.org/ontologies/EO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;5514;3613
185;http://data.bioontology.org/ontologies/PDO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;2150;3997
186;http://data.bioontology.org/ontologies/DOCCC/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;2337;760
187;http://data.bioontology.org/ontologies/ONL-DP/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;2519;382
188;http://data.bioontology.org/ontologies/SYN/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;38139;64996
189;http://data.bioontology.org/ontologies/PIERO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;1746;521
190;http://data.bioontology.org/ontologies/ORDO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;318132;149653
191;http://data.bioontology.org/ontologies/IAO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;3371;2744
192;http://data.bioontology.org/ontologies/ADW/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;4381;1432
193;http://data.bioontology.org/ontologies/KISAO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;3449;2524
194;http://data.bioontology.org/ontologies/DINTO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;871128;446642
195;http://data.bioontology.org/ontologies/NPO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;12940;27764
196;http://data.bioontology.org/ontologies/CTX/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;4304;6256
197;http://data.bioontology.org/ontologies/ABA-AMB/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;58946;6178
198;http://data.bioontology.org/ontologies/BNO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;982;281
199;http://data.bioontology.org/ontologies/TM-MER/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;922;144
200;http://data.bioontology.org/ontologies/ENM/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;105564;0
201;http://data.bioontology.org/ontologies/DIAGONT/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;1222;446
202;http://data.bioontology.org/ontologies/SWEET/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;134578;0
203;http://data.bioontology.org/ontologies/ATOL/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;33439;56671
204;http://data.bioontology.org/ontologies/PORO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;8451;4167
205;http://data.bioontology.org/ontologies/SYMP/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;6060;5937
206;http://data.bioontology.org/ontologies/CBO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;1445;1967
207;http://data.bioontology.org/ontologies/TEDDY/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;9444;13445
208;http://data.bioontology.org/ontologies/CARELEX/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;6470;6683
209;http://data.bioontology.org/ontologies/HPIO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;3653;1860
210;http://data.bioontology.org/ontologies/RNPRIO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;533;219
211;http://data.bioontology.org/ontologies/ICPS/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;767;458
212;http://data.bioontology.org/ontologies/suicideo/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;4056;1728
213;http://data.bioontology.org/ontologies/PP/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;1946;41
214;http://data.bioontology.org/ontologies/GPML/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;2254;625
215;http://data.bioontology.org/ontologies/CHEMBIO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;2039;1065
216;http://data.bioontology.org/ontologies/OBI_BCGO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;19563;19870
217;http://data.bioontology.org/ontologies/ECP/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;1591;296
218;http://data.bioontology.org/ontologies/CSO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;392;110
219;http://data.bioontology.org/ontologies/PROPREO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;5180;1605
220;http://data.bioontology.org/ontologies/PCO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;14898;17223
221;http://data.bioontology.org/ontologies/MEDLINEPLUS/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;178934;119839
222;http://data.bioontology.org/ontologies/EDAMTO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;1717;2821
223;http://data.bioontology.org/ontologies/OOEVV/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;1639;357
224;http://data.bioontology.org/ontologies/NCCO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;3068;970
