Index;OWL URI;Time Spent (ms);Exception Cause; Exception Detail
21;http://data.bioontology.org/ontologies/APATREATMENT/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;1264;Could not load imported ontology: <http://alexandergarcia.name/ontos/treatment/BehaviorModificationTherapy.owl> Cause: Server returned HTTP response code: 403 for URL: http://www.alexandergarcia.name/ontos/treatment/BehaviorModificationTherapy.owl;Imported Ontology Problem
22;http://data.bioontology.org/ontologies/OBOE-SBC/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;1940;Could not load imported ontology: <http://ecoinformatics.org/oboe/oboe.1.0/oboe-context.owl> Cause: http://ecoinformatics.org/oboe/oboe.1.0/oboe-context.owl;Imported Ontology Problem
23;http://data.bioontology.org/ontologies/CTONT/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;677;Could not load imported ontology: <http://epoch.stanford.edu/ProtocolOntology.owl> Cause: epoch.stanford.edu;Imported Ontology Problem
24;http://data.bioontology.org/ontologies/PEO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;968;Could not load imported ontology: <http://knoesis.wright.edu/provenir/provenir.owl> Cause: http://knoesis.wright.edu/provenir/provenir.owl;Imported Ontology Problem
25;http://data.bioontology.org/ontologies/EXACT/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;2671;Could not load imported ontology: <http://ontofox.hegroup.org/ztx3ioxo.owl> Cause: http://ontofox.hegroup.org/ztx3ioxo.owl;Imported Ontology Problem
26;http://data.bioontology.org/ontologies/NIFCELL/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;17386;Could not load imported ontology: <http://ontology.neuinfo.org/NIF/Backend/nif_backend.owl> Cause: Could not load imported ontology: <http://ontology.neuinfo.org/NIF/Backend/bfo.owl> Cause: Ontology already exists. OntologyID(OntologyIRI(<http://www.ifomis.org/bfo/1.1>));Imported Ontology Problem
27;http://data.bioontology.org/ontologies/NIFSTD/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;8736;Could not load imported ontology: <http://ontology.neuinfo.org/NIF/Backend/NIF-Quality.owl> Cause: Could not load imported ontology: <http://ontology.neuinfo.org/NIF/DigitalEntities/NIF-Investigation.owl> Cause: Could not load imported ontology: <http://ontology.neuinfo.org/NIF/DigitalEntities/CogPO.owl> Cause: Could not load imported ontology: <http://purl.obolibrary.org/obo/iao/dev/iao-main.owl> Cause: Could not load imported ontology: <http://purl.obolibrary.org/obo/ro/releases/2015-02-11/core.owl> Cause: https://raw.githubusercontent.com/oborel/obo-relations/v2015-02-11/core.owl;Imported Ontology Problem
28;http://data.bioontology.org/ontologies/BP-METADATA/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;3148;Could not load imported ontology: <http://protege.stanford.edu/ontologies/mappings/mappings.rdfs> Cause: http://protege.stanford.edu/ontologies/mappings/mappings.rdfs;Imported Ontology Problem
29;http://data.bioontology.org/ontologies/MIM/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;33055;Could not load imported ontology: <http://purl.bioontology.org/ontology/SBO/> Cause: Problem parsing http://purl.bioontology.org/ontology/SBO/ Could not parse ontology.  Either a suitable parser could not be found, or parsing failed.;Imported Ontology Problem
30;http://data.bioontology.org/ontologies/OMRSE/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;8113;Could not load imported ontology: <http://purl.obofoundry.org/obo/iao/d-acts/20150916/d-acts.owl> Cause: Could not load imported ontology: <http://purl.obolibrary.org/obo/iao/pno/bfo2/pno.owl> Cause: Could not load imported ontology: <http://purl.obolibrary.org/obo/ro/releases/2015-02-11/core.owl> Cause: https://raw.githubusercontent.com/oborel/obo-relations/v2015-02-11/core.owl;Imported Ontology Problem
31;http://data.bioontology.org/ontologies/CLO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;4308;Could not load imported ontology: <http://purl.obolibrary.org/obo/clo/BFO_import.owl> Cause: http://www.berkeleybop.org/ontologies/clo/BFO_import.owl;Imported Ontology Problem
32;http://data.bioontology.org/ontologies/COGPO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;2831;Could not load imported ontology: <http://purl.obolibrary.org/obo/iao/dev/iao-main.owl> Cause: Could not load imported ontology: <http://purl.obolibrary.org/obo/ro/releases/2015-02-11/core.owl> Cause: https://raw.githubusercontent.com/oborel/obo-relations/v2015-02-11/core.owl;Imported Ontology Problem
33;http://data.bioontology.org/ontologies/FLU/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;7178;Could not load imported ontology: <http://purl.obolibrary.org/obo/iao/iao-main.owl> Cause: Could not load imported ontology: <http://www.obofoundry.org/ro/ro.owl> Cause: http://www.obofoundry.org/ro/ro.owl;Imported Ontology Problem
34;http://data.bioontology.org/ontologies/IDO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;6360;Could not load imported ontology: <http://purl.obolibrary.org/obo/ido/ido-main.owl> Cause: Could not load imported ontology: <http://www.obofoundry.org/ro/ro.owl> Cause: http://www.obofoundry.org/ro/ro.owl;Imported Ontology Problem
35;http://data.bioontology.org/ontologies/OAE/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;105635;Could not load imported ontology: <http://purl.obolibrary.org/obo/oae/RO_dev_import> Cause: http://svn.code.sf.net/p/oae/code/trunk/src/ontology/RO_dev_import;Imported Ontology Problem
36;http://data.bioontology.org/ontologies/OGG-MM/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;23786;Could not load imported ontology: <http://purl.obolibrary.org/obo/ogg/NCBITaxon_import_Mm.owl> Cause: http://www.berkeleybop.org/ontologies/ogg/NCBITaxon_import_Mm.owl;Imported Ontology Problem
37;http://data.bioontology.org/ontologies/OGG/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;36115;Could not load imported ontology: <http://purl.obolibrary.org/obo/ogg/NCBITaxon_import_selected_ori.owl> Cause: http://www.berkeleybop.org/ontologies/ogg/NCBITaxon_import_selected_ori.owl;Imported Ontology Problem
38;http://data.bioontology.org/ontologies/OGSF/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;2176;Could not load imported ontology: <http://purl.obolibrary.org/obo/OGI.owl> Cause: Could not load imported ontology: <http://purl.obolibrary.org/obo/ogi/CHEBI_import.owl> Cause: http://www.berkeleybop.org/ontologies/ogi/CHEBI_import.owl;Imported Ontology Problem
39;http://data.bioontology.org/ontologies/OGI/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;4421;Could not load imported ontology: <http://purl.obolibrary.org/obo/ogi/CHEBI_import.owl> Cause: http://www.berkeleybop.org/ontologies/ogi/CHEBI_import.owl;Imported Ontology Problem
40;http://data.bioontology.org/ontologies/OVAE/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;11616;Could not load imported ontology: <http://purl.obolibrary.org/obo/ovae/OAE_import.owl> Cause: http://www.berkeleybop.org/ontologies/ovae/OAE_import.owl;Imported Ontology Problem
41;http://data.bioontology.org/ontologies/ROLEO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;2530;Could not load imported ontology: <http://purl.obolibrary.org/obo/RoleO/external/bfo_import.owl> Cause: http://www.berkeleybop.org/ontologies/RoleO/external/bfo_import.owl;Imported Ontology Problem
42;http://data.bioontology.org/ontologies/VICO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;1080;Could not load imported ontology: <http://purl.obolibrary.org/obo/vico/ICO_import.owl.> Cause: http://www.berkeleybop.org/ontologies/vico/ICO_import.owl.;Imported Ontology Problem
43;http://data.bioontology.org/ontologies/VO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;17830;Could not load imported ontology: <http://purl.obolibrary.org/obo/vo/external/RO_dev_import.owl> Cause: http://svn.code.sf.net/p/vaccineontology/code/trunk/src/ontology/RO_dev_import.owl;Imported Ontology Problem
44;http://data.bioontology.org/ontologies/DIKB/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;4307;Could not load imported ontology: <http://purl.org/mp/> Cause: http://purl.org/mp/;Imported Ontology Problem
45;http://data.bioontology.org/ontologies/SOPHARM/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;1429;Could not load imported ontology: <http://purl.org/obo/owl/OBO_REL> Cause: Ontology already exists. OntologyID(OntologyIRI(<http://purl.org/obo/owl/relationship>));Imported Ontology Problem
46;http://data.bioontology.org/ontologies/GLYCO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;11692;Could not load imported ontology: <http://purl.org/obo/owl/ro> Cause: http://www.obofoundry.org/ro/ro.owl;Imported Ontology Problem
47;http://data.bioontology.org/ontologies/CNO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;5416;Could not load imported ontology: <http://purl.org/obo/owl/ro> Cause: http://www.obofoundry.org/ro/ro.owl;Imported Ontology Problem
48;http://data.bioontology.org/ontologies/CPRO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;2484;Could not load imported ontology: <http://purl.org/obo/owl/ro> Cause: http://www.obofoundry.org/ro/ro.owl;Imported Ontology Problem
49;http://data.bioontology.org/ontologies/GEOSPECIES/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;668;Could not load imported ontology: <http://rdf.geospecies.org/methods/observationMethod.rdf> Cause: http://rdf.geospecies.org/methods/observationMethod.rdf;Imported Ontology Problem
50;http://data.bioontology.org/ontologies/RB/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;505;Could not load imported ontology: <http://regenbase.org/ontologies/regenbase_metadata.owl> Cause: http://regenbase.org/ontologies/regenbase_metadata.owl;Imported Ontology Problem
51;http://data.bioontology.org/ontologies/MSO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;3775;Could not load imported ontology: <http://scai.fraunhofer.de/NDDcommon> Cause: http://scai.fraunhofer.de/NDDcommon;Imported Ontology Problem
52;http://data.bioontology.org/ontologies/PTS/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;13191;Could not load imported ontology: <http://scai.fraunhofer.de/tobeimported> Cause: http://scai.fraunhofer.de/tobeimported;Imported Ontology Problem
53;http://data.bioontology.org/ontologies/LIPRO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;1245;Could not load imported ontology: <http://unbsj.biordf.net/lipids/lipid-maps-ontology.owl> Cause: http://unbsj.biordf.net/lipids/lipid-maps-ontology.owl;Imported Ontology Problem
54;http://data.bioontology.org/ontologies/OntoVIP/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;3323;Could not load imported ontology: <http://vip.creatis.insa-lyon.fr/ontovip/v1.0/vip-simulation.owl> Cause: http://vip.creatis.insa-lyon.fr/ontovip/v1.0/vip-simulation.owl;Imported Ontology Problem
55;http://data.bioontology.org/ontologies/SNPO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;2455;Could not load imported ontology: <http://www.co-ode.org/ontologies/amino-acid/2005/10/11/amino-acid.owl> Cause: http://www.co-ode.org/ontologies/amino-acid/2005/10/11/amino-acid.owl;Imported Ontology Problem
56;http://data.bioontology.org/ontologies/TEO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;4471;Could not load imported ontology: <http://www.co-ode.org/ontologies/lists/2008/09/11/list.owl> Cause: http://www.co-ode.org/ontologies/lists/2008/09/11/list.owl;Imported Ontology Problem
57;http://data.bioontology.org/ontologies/ACGT-MO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;1592;Could not load imported ontology: <http://www.ifomis.org/obo/ro/1.0> Cause: https://raw.githubusercontent.com/IFOMIS/BFO/master/ro.owl;Imported Ontology Problem
58;http://data.bioontology.org/ontologies/DDI/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;4186;Could not load imported ontology: <http://www.obofoundry.org/ro/ro.owl> Cause: http://www.obofoundry.org/ro/ro.owl;Imported Ontology Problem
59;http://data.bioontology.org/ontologies/BCGO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;14270;Could not load imported ontology: <http://www.owl-ontologies.com/2005/08/07/xsp.owl> Cause: Problem parsing http://www.owl-ontologies.com/2005/08/07/xsp.owl Could not parse ontology.  Either a suitable parser could not be found, or parsing failed.;Imported Ontology Problem
60;http://data.bioontology.org/ontologies/RCTONT/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;4960;Could not load imported ontology: <http://www.owl-ontologies.com/assert.owl> Cause: Problem parsing http://www.owl-ontologies.com/assert.owl Could not parse ontology.  Either a suitable parser could not be found, or parsing failed.;Imported Ontology Problem
61;http://data.bioontology.org/ontologies/NONRCTO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;5366;Could not load imported ontology: <http://www.owl-ontologies.com/assert.owl> Cause: Problem parsing http://www.owl-ontologies.com/assert.owl Could not parse ontology.  Either a suitable parser could not be found, or parsing failed.;Imported Ontology Problem
62;http://data.bioontology.org/ontologies/OPE/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;17167;Could not load imported ontology: <http://www.owl-ontologies.com/Ontology1363168337.owl> Cause: Problem parsing http://www.owl-ontologies.com/Ontology1363168337.owl Could not parse ontology.  Either a suitable parser could not be found, or parsing failed.;Imported Ontology Problem
63;http://data.bioontology.org/ontologies/FALL/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;985;Could not load imported ontology: <http://www.semanticweb.org/abed/ontologies/2015/1/untitled-ontology-336> Cause: http://semanticweb.org/abed/ontologies/2015/1/untitled-ontology-336;Imported Ontology Problem
64;http://data.bioontology.org/ontologies/BRCT/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;4967;Could not load imported ontology: <http://www.semanticweb.org/latitude_user/ontologies/2014/8/untitled-ontology-7> Cause: http://semanticweb.org/latitude_user/ontologies/2014/8/untitled-ontology-7;Imported Ontology Problem
65;http://data.bioontology.org/ontologies/NEUMORE/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;569;Could not load imported ontology: <http://www.semanticweb.org/ontologies/2010/2/MiRNA-Ontology.owl> Cause: http://semanticweb.org/ontologies/2010/2/MiRNA-Ontology.owl;Imported Ontology Problem
66;http://data.bioontology.org/ontologies/PVONTO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;1132;Could not load imported ontology: <http://www.semanticweb.org/ontologies/2010/2/MiRNA-Ontology.owl> Cause: http://semanticweb.org/ontologies/2010/2/MiRNA-Ontology.owl;Imported Ontology Problem
67;http://data.bioontology.org/ontologies/AAO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;401;http://data.bioontology.org/ontologies/AAO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;There is no latest submission loaded for download
68;http://data.bioontology.org/ontologies/BCTTV1/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;290;http://data.bioontology.org/ontologies/BCTTV1/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;There is no latest submission loaded for download
69;http://data.bioontology.org/ontologies/CIINTEADO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;463;http://data.bioontology.org/ontologies/CIINTEADO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;There is no latest submission loaded for download
70;http://data.bioontology.org/ontologies/CISAVIADO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;647;http://data.bioontology.org/ontologies/CISAVIADO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;There is no latest submission loaded for download
71;http://data.bioontology.org/ontologies/CO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;527;http://data.bioontology.org/ontologies/CO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;There is no latest submission loaded for download
72;http://data.bioontology.org/ontologies/DCO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;458;http://data.bioontology.org/ontologies/DCO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;There is no latest submission loaded for download
73;http://data.bioontology.org/ontologies/GTO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;209;http://data.bioontology.org/ontologies/GTO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;There is no latest submission loaded for download
74;http://data.bioontology.org/ontologies/GTO_TESTING/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;242;http://data.bioontology.org/ontologies/GTO_TESTING/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;There is no latest submission loaded for download
75;http://data.bioontology.org/ontologies/HAAURAADO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;451;http://data.bioontology.org/ontologies/HAAURAADO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;There is no latest submission loaded for download
76;http://data.bioontology.org/ontologies/HAROREADO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;238;http://data.bioontology.org/ontologies/HAROREADO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;There is no latest submission loaded for download
77;http://data.bioontology.org/ontologies/HC/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;551;http://data.bioontology.org/ontologies/HC/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;There is no latest submission loaded for download
78;http://data.bioontology.org/ontologies/HIV/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;404;http://data.bioontology.org/ontologies/HIV/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;There is no latest submission loaded for download
79;http://data.bioontology.org/ontologies/IDOBRU/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;394;http://data.bioontology.org/ontologies/IDOBRU/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;There is no latest submission loaded for download
80;http://data.bioontology.org/ontologies/IGTO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;458;http://data.bioontology.org/ontologies/IGTO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;There is no latest submission loaded for download
81;http://data.bioontology.org/ontologies/IMMDIS/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;531;http://data.bioontology.org/ontologies/IMMDIS/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;There is no latest submission loaded for download
82;http://data.bioontology.org/ontologies/MOOCCIADO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;280;http://data.bioontology.org/ontologies/MOOCCIADO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;There is no latest submission loaded for download
83;http://data.bioontology.org/ontologies/MOOCCUADO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;230;http://data.bioontology.org/ontologies/MOOCCUADO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;There is no latest submission loaded for download
84;http://data.bioontology.org/ontologies/MOOCULADO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;351;http://data.bioontology.org/ontologies/MOOCULADO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;There is no latest submission loaded for download
85;http://data.bioontology.org/ontologies/NHSQI2009/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;270;http://data.bioontology.org/ontologies/NHSQI2009/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;There is no latest submission loaded for download
86;http://data.bioontology.org/ontologies/PHARMGKB/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;227;http://data.bioontology.org/ontologies/PHARMGKB/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;There is no latest submission loaded for download
87;http://data.bioontology.org/ontologies/PHENOMEBLAST/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;502;http://data.bioontology.org/ontologies/PHENOMEBLAST/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;There is no latest submission loaded for download
88;http://data.bioontology.org/ontologies/PHFUMIADO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;429;http://data.bioontology.org/ontologies/PHFUMIADO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;There is no latest submission loaded for download
89;http://data.bioontology.org/ontologies/PHMAMMADO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;270;http://data.bioontology.org/ontologies/PHMAMMADO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;There is no latest submission loaded for download
90;http://data.bioontology.org/ontologies/PLOSTHES/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;239;http://data.bioontology.org/ontologies/PLOSTHES/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;There is no latest submission loaded for download
91;http://data.bioontology.org/ontologies/QIBO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;524;http://data.bioontology.org/ontologies/QIBO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;There is no latest submission loaded for download
92;http://data.bioontology.org/ontologies/RP/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;282;http://data.bioontology.org/ontologies/RP/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;There is no latest submission loaded for download
93;http://data.bioontology.org/ontologies/NCIT/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;971805;Lexical error at line 702420, column 23.  Encountered: <EOF> after : ;
94;http://data.bioontology.org/ontologies/MESH/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;253645;Problem parsing http://data.bioontology.org/ontologies/MESH/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85 Could not parse ontology.  Either a suitable parser could not be found, or parsing failed.;
95;http://data.bioontology.org/ontologies/AEO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;3091;Server returned HTTP response code: 400 for URL: http://data.bioontology.org/ontologies/AEO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;OBO Ontology Extension
96;http://data.bioontology.org/ontologies/APO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;3715;Server returned HTTP response code: 400 for URL: http://data.bioontology.org/ontologies/APO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;OBO Ontology Extension
97;http://data.bioontology.org/ontologies/ATO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;6591;Server returned HTTP response code: 400 for URL: http://data.bioontology.org/ontologies/ATO/download?apikey=c96ea8d0-efe1-48bb-b123-bad6404dce85;OBO Ontology Extension
